site,collection date,temperature_c,pH,dissolved_oxygen_mg_L,conductivity_uS_cm,n_replicates
SITE_F,2025-07-28,24.1,5.89,5.51,899.1,4
site-d,2025-08-05,12.5,7.74,9.97,300.1,4
Site_C,2025-07-04,22.6,6.42,7.19,815.8,4
Site_D,2025-08-15,16.0,7.74,9.73,250.7,3
 site_a,2025-06-24,14.7,"7,64",9.19,338.8,3
SITE_A,2025-07-16,15.4,7.47,10.22,254.2,3
site_a,2025-06-28,17.1,6.88,9.72,333.2,3
SITE_D,2025-06-02,,7.54,10.28,253.0,3
 site_d,2025-07-16,13.5,7.88,9.64,246.4,
site_c,2025-08-13,19.8,6.68,6.26,860.1,2
site_a,2025-06-28,17.1,6.88,9.72,333.2,3
site_a ,2025-08-03,15.4,7.35,9.68,414.7,3
site-d,2025-07-22,14.0,7.62,8.6,257.1,
site-a,2025-08-19,15.5,7.63,8.61,302.0,3
SITE_C,2025-07-18,23.7,6.65,6.73,689.1,3
site_d,2025-07-30,,7.69,9.91,289.8,2
site-e,2025-07-10,19.1,7.34,8.67,670.6,3
Site_E,2025-08-31,21.1,6.94,6.97,557.2,3
SITE_B,2025-06-10,20.7,6.86,8.0,500.8,3
site_e ,2025-07-12,20.1,6.67,7.38,632.2,3
 Site_B,2025-06-02,18.1,7.29,8.69,411.2,4
Site_F,2025-08-17,24.0,6.27,5.9,895.8,3
Site_C,2025-08-23,20.2,6.59,5.68,832.1,3
Site_D,2025-07-04,,7.65,9.64,243.9,2
SITE_B,2025-08-19,18.4,7.2,9.71,430.5,3
 site_d,2025-07-28,15.1,7.77,11.22,278.2,3
SITE_F,2025-06-30,,6.34,5.88,776.9,2
SITE_C,2025-08-01,-999.0,6.39,8.39,749.2,3
site_f ,2025-07-10,25.5,6.21,7.13,885.8,3
site_f,2025-08-13,24.4,6.21,6.13,853.7,3
site_e,2025-06-22,19.5,6.89,7.29,626.0,3
SITE_F,2025-09-08,20.9,6.53,,780.7,2
Site_F,2025-07-08,24.6,"6,28",7.77,805.8,3
site_f ,2025-09-06,24.4,6.53,7.74,830.9,3
site_c ,2025-06-08,19.8,6.55,6.69,871.4,3
 site_a,2025-08-11,14.9,7.37,8.6,267.5,3
site_a ,2025-06-08,17.8,7.28,8.25,377.3,3
site_e,2025-08-13,17.7,7.1,6.05,642.4,3
site-b,2025-09-06,16.3,7.27,7.33,444.4,2
Site_F,2025-06-02,25.6,6.31,5.25,844.3,4
Site_D,2025-08-21,15.9,7.94,10.63,225.9,4
site_b ,2025-07-14,20.6,"7,04",8.65,472.3,3
site_b ,2025-07-18,19.8,6.73,8.65,425.5,3
site_c,2025-07-24,22.2,6.46,6.48,781.8,3
SITE_E,2025-06-20,18.4,7.02,,531.6,3
site_e ,2025-07-12,20.1,6.67,7.38,632.2,3
 site_a,2025-06-12,18.6,7.22,9.8,278.4,3
site_f,2025-08-21,21.1,6.73,6.99,837.5,3
site_d,2025-08-07,15.7,7.53,11.02,283.8,3
site-f,2025-08-11,24.4,"5,78",7.48,874.9,3
 site_d,2025-08-31,16.1,7.84,10.15,253.3,2
site_a,2025-08-29,17.8,"7,48",9.2,286.6,3
site_d ,2025-06-06,14.8,7.46,8.58,,3
site-e,2025-06-26,19.3,6.81,8.35,659.0,2
Site_D,2025-06-12,13.4,7.8,10.83,294.7,3
site-a,2025-06-20,14.9,7.28,9.28,386.6,3
site-f,2025-07-22,24.4,6.37,5.32,886.4,2
site_f,2025-06-26,21.4,6.51,4.95,886.2,3
site-b,2025-07-28,18.6,7.07,8.63,511.3,4
site_e,2025-06-02,18.9,7.33,7.92,661.0,3
site-d,2025-08-09,15.5,7.32,9.35,261.7,3
site_e,2025-08-09,18.6,6.73,5.54,587.7,3
SITE_B,2025-09-04,18.2,"7,29",7.85,504.9,2
site_e ,2025-06-28,20.1,6.52,5.85,663.6,2
site_d,2025-07-02,14.8,7.68,10.6,319.5,3
SITE_F,2025-08-19,24.2,6.44,5.76,911.3,2
 site_a,2025-08-01,16.8,7.34,9.26,265.7,3
Site_F,2025-08-23,21.4,6.4,5.63,876.6,4
SITE_E,2025-07-28,19.8,7.02,6.78,602.5,2
SITE_B,2025-07-06,15.6,7.1,8.06,418.4,2
SITE_F,2025-08-29,23.7,6.5,6.27,819.7,4
Site_C,2025-06-02,21.9,"6,69",7.09,757.3,2
 site-c,2025-07-16,22.4,6.68,7.47,803.2,4
Site_C,2025-09-02,,6.65,7.57,787.4,3
Site_A,2025-09-06,14.1,7.26,9.29,328.0,3
site-e,2025-07-14,21.7,6.54,7.66,626.2,4
 site_a,2025-07-22,18.0,7.69,,282.4,3
site-b,2025-06-30,18.2,7.19,8.76,492.6,2
site_f,2025-07-30,20.8,6.53,6.43,896.3,3
SITE_E,2025-07-30,15.9,6.93,7.35,608.4,3
site_f,2025-07-18,21.8,6.86,5.14,981.7,3
SITE_C,2025-07-28,21.0,"6,67",6.39,791.0,3
SITE_A,2025-07-26,16.8,7.33,9.16,312.8,2
site_d ,2025-06-16,16.5,"7,6",10.56,214.0,2
SITE_D,2025-08-13,,7.64,10.89,259.2,3
site-c,2025-06-14,21.4,6.74,6.56,815.0,3
SITE_B,2025-07-10,17.1,6.87,8.52,463.8,2
 site-f,2025-06-10,24.1,"6,24",6.41,911.9,2
site_f,2025-08-01,,6.54,5.74,936.5,4
site-e,2025-06-10,17.0,6.96,6.98,571.4,2
SITE_A,2025-08-21,16.1,7.35,10.12,325.2,3
SITE_F,2025-07-26,22.9,6.5,7.05,902.5,2
 Site_B,2025-06-20,17.8,7.04,8.11,521.1,3
site-e,2025-06-26,19.3,6.81,8.35,659.0,2
SITE_F,2025-07-14,23.1,6.39,6.13,835.2,3
Site_C,2025-07-06,22.1,6.49,7.03,689.4,3
site_e ,2025-06-04,21.2,6.73,8.0,649.8,4
SITE_B,2025-06-22,18.0,7.13,9.12,475.2,4
Site_A,2025-07-04,19.4,7.16,10.27,355.3,4
Site_E,2025-08-03,22.0,6.64,8.28,574.7,4
site_f ,2025-08-05,21.4,6.98,6.88,884.0,3
SITE_D,2025-08-17,16.7,7.43,,289.3,3
SITE_E,2025-08-29,21.6,7.47,7.61,656.7,3
site_e ,2025-06-12,19.5,7.37,8.63,604.3,3
site_d ,2025-09-08,16.7,7.44,10.92,227.3,2
Site_F,2025-09-04,22.7,6.18,6.28,831.0,4
site_d ,2025-07-12,15.6,7.79,10.52,237.6,3
Site_E,2025-07-20,19.9,7.05,7.7,621.8,4
Site_A,2025-06-22,17.7,7.24,10.06,299.1,2
site_f,2025-06-14,24.1,6.47,4.14,912.4,3
site_d,2025-08-03,,7.64,9.7,191.1,3
site_b ,2025-08-05,19.3,7.1,8.93,489.8,2
site_f,2025-09-02,26.5,6.25,5.67,845.3,2
site_d ,2025-08-25,12.3,7.89,9.27,273.2,2
site_e ,2025-08-01,-999.0,6.83,7.65,609.6,2
site_d ,2025-08-27,16.1,7.44,9.32,276.8,2
site_c ,2025-08-15,22.0,6.8,7.29,762.8,2
Site_A,2025-06-02,17.5,7.36,9.39,341.8,3
site_d ,2025-06-30,18.4,7.47,10.92,250.5,4
site_a,2025-07-02,15.1,"6,87",9.61,340.6,3
site-b,2025-08-31,-999.0,7.45,7.55,388.4,3
site-e,2025-07-08,21.4,6.89,7.86,579.3,3
site_e,2025-07-26,19.1,6.73,7.06,667.1,
Site_B,2025-06-26,16.9,7.06,7.98,478.0,3
 site_d,2025-06-10,16.7,8.33,10.43,280.4,4
Site_A,2025-06-26,15.9,"7,4",8.21,358.1,3
site_c ,2025-09-04,20.2,6.44,6.06,692.7,3
Site_B,2025-08-01,18.9,7.04,8.54,447.2,3
 site-c,2025-06-28,22.9,6.36,7.36,709.3,3
 site-c,2025-08-19,21.9,6.8,5.83,725.3,3
site_f ,2025-08-31,26.2,6.58,5.99,935.5,3
site_e ,2025-07-02,-999.0,6.8,8.28,652.0,3
site_a ,2025-07-24,16.7,7.82,11.12,310.0,3
SITE_A,2025-08-25,-999.0,7.52,10.47,250.2,3
site-c,2025-08-05,20.9,6.8,6.72,803.7,
Site_B,2025-06-16,17.1,7.05,9.15,502.5,2
Site_F,2025-06-24,20.2,6.55,5.57,918.9,4
Site_F,2025-06-20,22.7,6.28,5.83,916.3,2
SITE_C,2025-08-09,21.0,6.6,6.37,821.2,3
site_c,2025-07-12,25.0,6.95,7.05,740.7,2
site-b,2025-06-28,17.8,7.13,9.2,504.2,3
Site_A,2025-06-14,14.6,7.34,10.52,250.0,4
SITE_E,2025-08-07,18.8,"6,9",6.83,568.0,3
SITE_F,2025-06-18,23.0,6.41,5.52,852.3,3
Site_B,2025-07-26,,6.99,9.28,390.7,4
site-e,2025-07-06,20.2,6.49,5.16,628.2,2
SITE_A,2025-08-13,15.9,"7,35",9.73,290.5,3
site_a ,2025-08-05,17.5,7.24,9.79,277.2,4
site_f,2025-06-28,20.7,6.4,7.42,853.3,2
site-d,2025-08-11,14.9,7.56,10.02,256.7,4
site-e,2025-07-04,18.8,6.54,,580.3,3
SITE_F,2025-08-03,24.1,6.58,6.2,867.9,4
site_b ,2025-07-24,16.6,7.32,,391.2,3
 SITE_E,2025-08-27,20.1,6.95,7.65,638.1,3
SITE_C,2025-08-07,21.3,6.84,7.03,815.5,3
 site_d,2025-09-04,,7.67,10.31,275.7,2
site_d ,2025-06-30,18.4,7.47,10.92,250.5,4
SITE_E,2025-07-22,17.4,7.44,7.81,680.6,3
 site_a,2025-08-27,17.0,7.49,8.31,373.7,3
site_b ,2025-08-25,16.6,6.88,8.93,454.5,3
Site_A,2025-06-30,14.8,"7,58",8.91,325.9,3
Site_A,2025-08-23,15.5,7.38,9.96,312.7,3
site_b,2025-07-16,17.1,6.89,9.61,484.9,3
SITE_A,2025-06-16,17.8,7.69,10.32,352.8,4
SITE_B,2025-07-12,17.5,"7,15",7.81,414.0,3
site_c ,2025-08-03,20.0,"6,22",7.01,800.5,3
site-b,2025-08-03,17.7,6.81,9.46,446.7,3
site_d,2025-06-18,12.5,7.74,9.27,318.9,3
site-b,2025-06-04,18.4,7.14,8.28,498.8,3
site-c,2025-06-18,22.5,6.36,6.76,782.9,3
site-f,2025-07-02,23.5,6.64,7.37,819.3,3
 Site_B,2025-08-23,18.5,7.41,7.68,428.1,2
 SITE_E,2025-08-17,21.2,6.83,7.24,655.9,2
site_c,2025-07-22,22.2,6.62,6.88,829.1,2
 site-c,2025-08-31,21.6,7.06,7.78,792.0,4
SITE_B,2025-07-22,18.1,7.02,8.67,456.7,3
 site-c,2025-06-04,20.5,6.19,6.12,735.8,3
SITE_D,2025-06-26,15.1,7.26,10.05,194.1,3
site_a ,2025-09-04,-999.0,7.08,10.23,388.5,4
site_a ,2025-07-08,15.0,7.48,,370.1,3
 site_d,2025-07-08,13.9,7.25,10.48,289.3,3
site_b,2025-07-08,21.4,7.27,9.73,532.5,2
SITE_C,2025-07-14,21.2,6.78,6.87,869.5,3
SITE_D,2025-06-04,17.4,7.79,9.99,186.8,4
site-e,2025-09-06,19.5,6.54,7.47,570.3,3
 site-c,2025-07-30,20.5,6.84,5.87,853.7,3
Site_C,2025-06-30,21.0,"6,53",7.61,775.9,3
Site_C,2025-07-02,22.6,6.55,7.13,839.3,3
 site_a,2025-08-15,17.2,7.36,9.29,287.6,2
SITE_B,2025-08-19,18.4,7.2,9.71,430.5,3
site-b,2025-07-04,17.2,7.03,,414.7,3
 site-c,2025-07-10,-999.0,6.33,7.41,758.6,4
site_b,2025-09-02,18.2,7.35,8.56,487.8,3
site_f ,2025-06-16,-999.0,6.27,6.53,858.5,2
site_d ,2025-08-29,15.5,7.85,8.9,275.9,3
Site_A,2025-06-10,,7.74,8.47,327.3,4
