group,total_respondents,language,count,percent
"All Respondents",31771,"JavaScript",20982,66.0
"All Respondents",31771,"HTML/CSS",19676,61.9
"All Respondents",31771,"SQL",18610,58.6
"All Respondents",31771,"Python",18381,57.9
"All Respondents",31771,"Bash/Shell",15482,48.7
"All Respondents",31771,"TypeScript",13850,43.6
"All Respondents",31771,"Java",9341,29.4
"All Respondents",31771,"C#",8842,27.8
"All Respondents",31771,"C++",7477,23.5
"All Respondents",31771,"PowerShell",7362,23.2
"All Respondents",31771,"C",6977,22.0
"All Respondents",31771,"PHP",5988,18.9
"All Respondents",31771,"Go",5211,16.4
"All Respondents",31771,"Rust",4716,14.8
"All Respondents",31771,"Kotlin",3417,10.8
"All Respondents",31771,"Lua",2906,9.2
"All Respondents",31771,"Assembly",2243,7.1
"All Respondents",31771,"Ruby",2046,6.4
"All Respondents",31771,"Dart",1881,5.9
"All Respondents",31771,"Swift",1718,5.4
"All Respondents",31771,"R",1568,4.9
"All Respondents",31771,"Groovy",1532,4.8
"All Respondents",31771,"Visual Basic (.Net)",1408,4.4
"All Respondents",31771,"VBA",1333,4.2
"All Respondents",31771,"MATLAB",1230,3.9
"All Respondents",31771,"Perl",1215,3.8
"All Respondents",31771,"GDScript",1059,3.3
"All Respondents",31771,"Elixir",847,2.7
"All Respondents",31771,"Scala",842,2.6
"All Respondents",31771,"Delphi",795,2.5
"All Respondents",31771,"Lisp",751,2.4
"All Respondents",31771,"MicroPython",720,2.3
"All Respondents",31771,"Zig",678,2.1
"All Respondents",31771,"Erlang",464,1.5
"All Respondents",31771,"Fortran",448,1.4
"All Respondents",31771,"Ada",430,1.4
"All Respondents",31771,"F#",405,1.3
"All Respondents",31771,"OCaml",367,1.2
"All Respondents",31771,"Gleam",353,1.1
"All Respondents",31771,"Prolog",337,1.1
"All Respondents",31771,"COBOL",308,1.0
"All Respondents",31771,"Mojo",144,0.4
"Professional Developers",24759,"JavaScript",17030,68.8
"Professional Developers",24759,"HTML/CSS",15601,63.0
"Professional Developers",24759,"SQL",15188,61.3
"Professional Developers",24759,"Python",13577,54.8
"Professional Developers",24759,"Bash/Shell",12086,48.8
"Professional Developers",24759,"TypeScript",12077,48.8
"Professional Developers",24759,"C#",7399,29.9
"Professional Developers",24759,"Java",7336,29.6
"Professional Developers",24759,"PowerShell",5715,23.1
"Professional Developers",24759,"C++",5391,21.8
"Professional Developers",24759,"C",4736,19.1
"Professional Developers",24759,"PHP",4720,19.1
"Professional Developers",24759,"Go",4297,17.4
"Professional Developers",24759,"Rust",3586,14.5
"Professional Developers",24759,"Kotlin",2848,11.5
"Professional Developers",24759,"Lua",2117,8.6
"Professional Developers",24759,"Ruby",1697,6.9
"Professional Developers",24759,"Dart",1517,6.1
"Professional Developers",24759,"Assembly",1421,5.7
"Professional Developers",24759,"Swift",1411,5.7
"Professional Developers",24759,"Groovy",1299,5.3
"Professional Developers",24759,"Visual Basic (.Net)",1023,4.1
"Professional Developers",24759,"Perl",852,3.4
"Professional Developers",24759,"R",821,3.3
"Professional Developers",24759,"VBA",814,3.3
"Professional Developers",24759,"GDScript",714,2.9
"Professional Developers",24759,"Scala",697,2.8
"Professional Developers",24759,"Elixir",688,2.8
"Professional Developers",24759,"MATLAB",659,2.7
"Professional Developers",24759,"Delphi",617,2.5
